year,store,total_quantity,total_revenue,year_quantity,year_revenue,store_quantity_share,store_revenue_share
2022,amazon,976815538.0,1964098.7556985386,110010626804.0,57969233.77089732,0.008879283450864611,0.033881744296654616
2023,amazon,1454929188.0,2616595.454916626,169190868055.0,71693636.30697158,0.008599336386920342,0.03649689972082202
2024,amazon,149952064.0,233352.00464000087,471211148163.0,70693153.22995332,0.00031822690228060777,0.003300913794026768
2024,amazon_ads,627305869.0,155725.22559249995,471211148163.0,70693153.22995332,0.0013312627925836003,0.0022028332091221215
2024,amazon_subscription,992482776.0,2294008.002265033,471211148163.0,70693153.22995332,0.002106237893286606,0.03245021473017335
2023,facebook_al_consumption,237765.0,0.2516205,169190868055.0,71693636.30697158,1.4053063426727509e-06,3.509662962590337e-09
2024,facebook_al_consumption,246551083587.0,316564.4383919008,471211148163.0,70693153.22995332,0.52322846042198,0.004478007047757061
2022,facebook_al_production,3952121750.0,3308816.941848944,110010626804.0,57969233.77089732,0.035924908936672835,0.057078845563594306
2023,facebook_al_production,4743246600.0,2298619.281178354,169190868055.0,71693636.30697158,0.028034885419809308,0.03206169193784963
2024,facebook_al_production,6210767305.0,1919198.0305782703,471211148163.0,70693153.22995332,0.013180433716843196,0.027148287251177374
2022,facebook_revenue_share,19800026.0,1367738.0178505026,110010626804.0,57969233.77089732,0.00017998284870494047,0.023594205561798493
2023,facebook_revenue_share,37592367.0,2250664.454466992,169190868055.0,71693636.30697158,0.00022218910176511182,0.0313928065362774
2024,facebook_revenue_share,157328352.0,1564315.9194946012,471211148163.0,70693153.22995332,0.0003338807933838981,0.022128252143544032
2022,facebook_ugc_consumption,19970695.0,57.04533399999998,110010626804.0,57969233.77089732,0.00018153423519330284,9.840622393846239e-07
2023,facebook_ugc_consumption,137007319.0,223.2217535,169190868055.0,71693636.30697158,0.000809779632760452,3.1135504488045284e-06
2024,facebook_ugc_consumption,63738341601.0,105571.17503740851,471211148163.0,70693153.22995332,0.13526492709156324,0.0014933719916835886
2022,facebook_ugc_production,182343349.0,206223.5381720076,110010626804.0,57969233.77089732,0.0016575066818305772,0.0035574653097371
2023,facebook_ugc_production,243990211.0,136781.62117200106,169190868055.0,71693636.30697158,0.0014421003556804525,0.00190786279254049
2024,facebook_ugc_production,423461979.0,168903.6881184981,471211148163.0,70693153.22995332,0.0008986671487948695,0.00238925101514544
2022,facebook_video,2763591507.0,1430359.0655404949,110010626804.0,57969233.77089732,0.025121132269555577,0.024674451816863372
2023,facebook_video,966027431.0,307327.7639449991,169190868055.0,71693636.30697158,0.00570969013933995,0.004286681214342509
2022,spotify,37538056361.0,30212452.035152327,110010626804.0,57969233.77089732,0.3412220932790387,0.5211808069528095
2023,spotify,54155855823.0,40666723.64688944,169190868055.0,71693636.30697158,0.32008734540799916,0.5672291955281247
